"v_aW","N aW","Select ""a |WORD|""","Motion"
"v_iw","N iw","Select ""inner word""","Motion"
"v_iW","N iW","Select ""inner |WORD|""","Motion"
"v_i>","N i>","Select ""inner <> block""","Motion"
"v_a>","N a>","Select ""a <> block""","Motion"
"CTRL-v","CTRL-v","start highlighting blockwise } highlighted text","Visual"
"I","N I","insert text before the first non-blank in the line (N times)","Insert"
"i","N i","insert text before the cursor (N times)","Insert"
"i_CTRL_n","CTRL-n","insert next match of identifier before the cursor","Insert"
"i_CTRL_p","CTRL-p","insert previous match of identifier before the cursor","Insert"
"q","q{a-z}","record typed characters into register {a-z}","Repeat"
"@","N @{a-z}","execute the contents of register {a-z} (N times)","Repeat"
"CTRL-A","N CTRL-A","add N to the number at or after the cursor","Change"
"v","v","start highlighting characters } move cursor and use","Visual"
"V","V","start highlighting linewise } operator to affect","Visual"
"J","N J","join N-1 lines (delete <EOL>s)","Change"
"<","N <{motion}","move the lines that are moved over with {motion} one shiftwidth left","Change"
">","N >{motion}","move the lines that are moved over with {motion} one shiftwidth right","Change"
"=","N ={motion}","filter the lines that are moved over through 'equalprg'","Change"
":split_f",":split {file}","split window and edit {file} in one of them","Windows"
"CTRL-W_j","CTRL-W j","move cursor to window below","Windows"
"CTRL-W__","CTRL-W _","set current window height (default:very high)","Windows"
"CTRL-W_+","CTRL-W +","increase current window height","Windows"
"H","N H","go to the Nth line in the window, on the first non-blank","Motion"
"L","N L","go to the Nth line from the bottom, on the first non-blank","Motion"
"M","M","go to the middle line in the window, on the first non-blank","Motion"
"b","N b","N words backward","Motion"
"CTRL-F","N CTRL-F","window N pages Forwards (downwards)","Scroll"
"CTRL-B","N CTRL-B","window N pages Backwards (upwards)","Scroll"
"CTRL-U","N CTRL-U","window N lines Upwards (default: 1/2 window)","Scroll"
"CTRL-D","N CTRL-D","window N lines Downwards (default: 1/2 window)","Scroll"
"CTRL-G","CTRL-G","show current file name (with path) and cursor position","Editing"
"A","N A","append text at the end of the line (N times)","Insert"
"i_<Esc>","<Esc>","end Insert mode, back to Normal mode","Insert"
"r","N r{char}","replace N characters with {char}","Change"
"R","N R","enter Replace mode (repeat the entered text N times)","Change"
"cc","N cc","change N lines","Change"
"U","U","restore last changed line","Undo"
">>","N >>","move N lines one shiftwidth right","Change"
"<<","N <<","move N lines one shiftwidth left","Change"
"i_CTRL-T","CTRL-T","insert one shiftwidth of indent in front of the current line","Insert"
"i_CTRL-D","CTRL-D","delete one shiftwidth of indent in front of the current line","Insert"
"d","N d{motion}","delete the text that is moved over with {motion}","Change"
")","N )","N sentences forward","Motion"
"(","N (","N sentences backward","Motion"
"}","N }","N paragraphs forward","Motion"
"{","N {","N paragraphs backward","Motion"
"D","N D","delete to the end of the line (and N-1 more lines)","Change"
"y","N y{motion}","yank the text moved over with {motion} into a register","Change"
"/","N /{pattern}[/[offset]]<CR>","search forward for the Nth occurrence of {pattern}","Pattern"
"?","N ?{pattern}[?[offset]]<CR>","search backward for the Nth occurrence of {pattern}","Pattern"
"n","N n","repeat last search","Pattern"
"N","N N","repeat last search, in opposite direction","Pattern"
":s",":[range]s[ubstitute]/{pattern}/{string}/[g][c]","substitute {pattern} by {string} in [range] lines; with [g], replace all occurrences of {pattern}; with [c], confirm each replacement","Change"
":g",":[range]g[lobal]/{pattern}/[cmd]","execute Ex command [cmd] (default: ":p") on the lines within [range] where {pattern} matches","Repeat"
"gu","gu{motion}","make the text that is moved over with {motion} lowercase","Change"
"gU","gU{motion}","make the text that is moved over with {motion} uppercase","Change"
"g~","g~{motion}","switch case for the text that is moved over with {motion}","Change"
":wall",":wa[ll][!]","write all changed buffers","Editing"
":xall",":xa[ll][!] or :wqall[!]","write all changed buffers and exit","Editing"
":r",":r [file]","insert the contents of [file] below the cursor","Insert"
":edit_f",":e[dit][!] {file}","edit {file}","Editing"
":browse",":browse {command}","open/read/write file, using a file selection dialog","Editing"
":cd",":cd [path]","change the current directory to [path]","Editing"
":shell",":sh[ell]","start a shell","Various"
":!",":!{command}","execute {command} with a shell","Various"
":syn-on",":syntax on","start using syntax highlighting","Various"
":syn-off",":syntax off","stop using syntax highlighting","Various"
"zf","zf{motion}","operator: Define a fold manually","Fold"
":fold",":{range}fold","define a fold for {range} lines","Fold"
"zd","zd","delete one fold under the cursor","Fold"
"zD","zD","delete all folds under the cursor","Fold"
"zo","zo","open one fold under the cursor","Fold"
"zO","zO","open all folds under the cursor","Fold"
"zc","zc","close one fold under the cursor","Fold"
"zC","zC","close all folds under the cursor","Fold"
"zm","zm","fold more: decrease 'foldlevel'","Fold"
"zM","zM","close all folds: make 'foldlevel' zero","Fold"
"zr","zr","reduce folding: increase 'foldlevel'","Fold"
"zR","zR","open all folds: make 'foldlevel' max.","Fold"
"zn","zn","fold none: reset 'foldenable'","Fold"
"zN","zN","fold normal set 'foldenable'","Fold"
"zi","zi","invert 'foldenable'","Fold"
